,satisfaction_level,average_montly_hours,promotion_last_5years,high,low,medium,0
4670,0.94,231,0,0,0,1,
6787,0.96,171,0,0,0,1,
9985,0.37,266,0,0,1,0,
711,0.4,159,0,0,1,0,0.0
7601,0.91,133,0,0,0,1,
14583,0.39,141,0,0,0,1,
1362,0.4,129,0,0,0,1,0.0
11682,0.58,133,0,0,0,1,
45,0.84,182,0,0,1,0,0.0
10436,0.99,211,0,0,0,1,
9250,0.96,265,0,0,1,0,
8053,0.93,233,0,0,1,0,
3896,0.56,149,0,0,0,1,0.0
4194,0.59,146,0,0,0,1,0.0
113,0.9,258,0,0,0,1,0.0
10738,0.68,270,0,1,0,0,
14542,0.11,302,0,0,1,0,
10948,0.76,187,0,0,0,1,
12174,0.7,274,0,0,1,0,
13819,0.15,259,0,1,0,0,
4644,0.71,189,0,0,0,1,
7238,0.18,217,0,0,1,0,
3718,0.82,136,0,0,0,1,0.0
13353,0.13,264,0,1,0,0,
7131,0.78,154,0,0,1,0,
3468,1.0,152,0,0,0,1,1.0
7261,0.58,257,0,0,1,0,
8972,0.57,224,0,0,0,1,
1427,0.57,158,0,0,0,1,0.0
8022,0.98,210,0,0,1,0,
9632,0.87,214,0,0,1,0,
2708,0.49,218,0,0,1,0,1.0
1159,0.11,269,0,0,0,1,0.0
12134,0.36,132,0,0,1,0,
7024,0.57,126,0,0,0,1,
318,0.11,276,0,0,1,0,0.0
1358,0.29,249,0,0,0,1,1.0
7800,0.61,121,0,0,0,1,
12510,0.44,146,0,0,1,0,
5483,0.93,142,0,0,0,1,
6357,0.16,121,0,0,0,1,
12369,0.1,266,0,0,1,0,
2496,0.58,146,0,0,1,0,0.0
4643,0.73,160,0,0,0,1,
9573,0.93,191,0,0,0,1,
13921,0.76,235,0,1,0,0,
4841,0.68,133,0,0,1,0,
7458,0.7,240,0,0,0,1,
9171,0.3,124,0,0,1,0,
8441,0.5,199,0,0,1,0,
8669,0.9,144,0,0,1,0,
7064,0.53,205,0,0,0,1,
10572,0.66,225,0,0,1,0,
13933,0.16,117,0,0,0,1,
8787,0.89,141,0,0,1,0,
6264,0.49,206,0,0,1,0,
10811,0.97,137,0,0,1,0,
8891,0.94,261,0,0,0,1,
873,0.78,220,0,0,1,0,0.0
2981,0.93,147,0,0,1,0,0.0
8507,0.79,271,0,0,0,1,
10827,0.65,252,0,1,0,0,
5512,0.72,135,0,0,0,1,
5170,0.2,123,0,0,1,0,
6578,0.83,242,0,0,1,0,
5009,0.94,189,0,0,0,1,
14739,0.09,301,0,0,0,1,
3077,0.81,181,0,0,0,1,0.0
5102,0.92,259,0,0,1,0,
5937,0.68,139,0,0,0,1,
2051,0.73,171,0,0,0,1,0.0
2843,0.5,137,0,0,0,1,1.0
9103,0.55,191,0,0,1,0,
9441,0.78,238,0,0,1,0,
8281,0.21,189,0,0,1,0,
5919,0.31,120,0,0,1,0,
4606,0.82,140,0,0,1,0,
2477,0.81,196,0,0,1,0,0.0
6372,0.37,134,0,0,0,1,
14737,0.41,144,0,0,1,0,
9602,0.99,238,0,0,1,0,
531,0.37,131,0,0,0,1,0.0
14425,0.4,151,0,0,1,0,
8431,0.55,194,0,0,1,0,
2591,0.21,173,0,0,1,0,0.0
8567,0.7,285,0,0,1,0,
2678,0.79,96,0,0,0,1,0.0
4785,0.83,249,0,0,0,1,
4183,0.54,228,0,0,0,1,0.0
10035,0.51,242,0,0,1,0,
3869,0.74,260,0,0,1,0,1.0
8866,0.14,207,0,0,1,0,
4495,0.89,223,0,0,1,0,0.0
1541,0.61,220,0,0,1,0,0.0
9488,0.78,174,0,0,1,0,
10787,0.67,253,0,0,0,1,
634,0.82,225,0,0,1,0,0.0
1676,0.1,270,0,0,0,1,0.0
13944,0.74,160,0,1,0,0,
7911,0.67,137,0,0,0,1,
11079,0.73,216,0,0,0,1,
3555,0.72,194,0,0,1,0,0.0
5641,0.38,238,0,0,1,0,
11672,0.5,245,0,0,0,1,
2786,0.88,166,0,0,1,0,0.0
3273,0.49,188,0,0,0,1,0.0
8943,0.36,97,0,1,0,0,
5814,0.76,195,0,0,1,0,
